n_cut,energy,madelung,time,memory
0,-4.7647857545514076e-18,-1.456029925629984,0.03952169418334961,0.0
1,-5.717106917039227e-18,-1.7470415645202504,0.016753435134887695,0.00390625
2,-5.7186087683072665e-18,-1.7475005023409114,0.059891700744628906,0.0078125
3,-5.718763874839919e-18,-1.7475479000130913,0.1481947898864746,0.01953125
4,-5.718798511269746e-18,-1.7475584842619838,0.40088486671447754,0.0390625
5,-5.718809546015291e-18,-1.747561856275032,0.6327168941497803,0.078125
6,-5.718813913392204e-18,-1.7475631908642053,1.032710075378418,0.08984375
7,-5.7188159156013724e-18,-1.747563802702096,1.6492598056793213,0.18359375
8,-5.718816936389184e-18,-1.74756411463587,2.5972208976745605,0.27734375
9,-5.718817500329772e-18,-1.7475642869656272,3.0602798461914062,0.625
10,-5.718817832310248e-18,-1.7475643884126875,4.878852367401123,0.80859375
11,-5.718818038212842e-18,-1.7475644513326913,6.743409872055054,1.35546875
12,-5.718818171492734e-18,-1.747564492060548,9.708198547363281,1.37890625
13,-5.718818260534302e-18,-1.7475645192699956,12.09820294380188,1.7890625
14,-5.7188183222737104e-18,-1.7475645381364109,15.202086925506592,2.34765625
15,-5.7188183659133285e-18,-1.7475645514718665,19.650264024734497,2.5234375
16,-5.718818396440431e-18,-1.7475645608003816,22.267772912979126,3.57421875
17,-5.718818418641074e-18,-1.747564567584485,25.50791621208191,3.76171875
18,-5.718818432534018e-18,-1.7475645718299104,27.49849820137024,4.7421875
19,-5.7188184413629445e-18,-1.747564574527866,34.1373975276947,5.12890625
20,-5.7188184495340505e-18,-1.7475645770248043,45.483123779296875,6.35546875
21,-5.718818455399403e-18,-1.747564578817147,51.26438808441162,7.8046875
22,-5.718818459462217e-18,-1.7475645800586674,56.841835498809814,8.15234375
23,-5.71881846641232e-18,-1.7475645821824894,64.15195035934448,9.36328125
24,-5.7188184759558765e-18,-1.747564585098823,77.06895995140076,10.5625
