n_cut,k_cut,sigma,energy,madelung,time,memory
5,5,1e-11,-3.611736194062487e-17,-11.03679420845445,1.437429428100586,0.27734375
5,6,1e-11,-3.6117361940624885e-17,-11.036794208454456,1.9639098644256592,0.0
5,7,1e-11,-2.6195104133041744e-17,-8.00473672636165,2.663130283355713,0.03125
5,8,1e-11,-2.619510413304178e-17,-8.00473672636166,3.5856261253356934,0.11328125
5,9,1e-11,-1.8813567382662175e-17,-5.749076354764935,4.6611549854278564,0.25
5,10,1e-11,-1.8813567382661802e-17,-5.749076354764822,6.093888759613037,0.6328125
5,11,1e-11,-1.3681942779802117e-17,-4.18094729844249,7.938685178756714,1.09765625
5,12,1e-11,-1.3681942779802136e-17,-4.180947298442496,9.882125854492188,1.3671875
5,13,1e-11,-1.033240492118941e-17,-3.1573908133451174,12.033278226852417,1.76953125
5,14,1e-11,-1.0332404921187412e-17,-3.1573908133445068,15.014501810073853,2.3828125
5,15,1e-11,-8.27044369344874e-18,-2.527293804216988,18.140016794204712,2.86328125
5,16,1e-11,-8.270443693448147e-18,-2.5272938042168067,21.85149312019348,3.45703125
5,17,1e-11,-7.06837697462814e-18,-2.1599645673179793,25.909562349319458,4.08984375
5,18,1e-11,-7.068376974626527e-18,-2.159964567317486,30.199071407318115,5.109375
5,19,1e-11,-6.40238449495077e-18,-1.956449649626561,35.82580590248108,5.44921875
5,20,1e-11,-6.402384494950378e-18,-1.9564496496264414,42.27115797996521,6.37109375
5,21,1e-11,-6.05071930030645e-18,-1.8489873053405632,46.77906775474548,7.91796875
5,22,1e-11,-6.050719300307219e-18,-1.848987305340798,54.3218879699707,8.41015625
5,23,1e-11,-5.8733827984816535e-18,-1.7947965679465898,62.48242688179016,9.5859375
5,24,1e-11,-5.8733827984816604e-18,-1.794796567946592,70.3445656299591,10.84375
6,5,1e-11,-3.611736194062487e-17,-11.03679420845445,1.8403141498565674,6.6328125
6,6,1e-11,-3.6117361940624885e-17,-11.036794208454456,2.510880470275879,0.0
6,7,1e-11,-2.6195104133041744e-17,-8.00473672636165,3.153639554977417,0.0
6,8,1e-11,-2.619510413304178e-17,-8.00473672636166,4.083623170852661,0.0
6,9,1e-11,-1.8813567382662175e-17,-5.749076354764935,5.324963331222534,0.0
6,10,1e-11,-1.8813567382661802e-17,-5.749076354764822,6.944021701812744,0.0
6,11,1e-11,-1.3681942779802117e-17,-4.18094729844249,8.228333473205566,0.0
6,12,1e-11,-1.3681942779802136e-17,-4.180947298442496,10.280194997787476,0.08203125
6,13,1e-11,-1.033240492118941e-17,-3.1573908133451174,12.604519367218018,0.0
6,14,1e-11,-1.0332404921187412e-17,-3.1573908133445068,15.54544711112976,0.0
6,15,1e-11,-8.27044369344874e-18,-2.527293804216988,18.58133053779602,0.25
6,16,1e-11,-8.270443693448147e-18,-2.5272938042168067,22.184574365615845,1.31640625
6,17,1e-11,-7.06837697462814e-18,-2.1599645673179793,27.992399215698242,2.109375
6,18,1e-11,-7.068376974626527e-18,-2.159964567317486,31.947125911712646,3.4375
6,19,1e-11,-6.40238449495077e-18,-1.956449649626561,44.07388877868652,3.9296875
6,20,1e-11,-6.402384494950378e-18,-1.9564496496264414,65.35483908653259,5.3125
6,21,1e-11,-6.05071930030645e-18,-1.8489873053405632,75.71357226371765,7.390625
6,22,1e-11,-6.050719300307219e-18,-1.848987305340798,92.42857480049133,8.015625
6,23,1e-11,-5.8733827984816535e-18,-1.7947965679465898,110.3874101638794,9.13671875
6,24,1e-11,-5.8733827984816604e-18,-1.794796567946592,118.99381875991821,10.3046875
7,5,1e-11,-3.611736194062487e-17,-11.03679420845445,2.425426721572876,5.6328125
7,6,1e-11,-3.6117361940624885e-17,-11.036794208454456,2.877716302871704,0.0
7,7,1e-11,-2.6195104133041744e-17,-8.00473672636165,3.7915780544281006,0.0625
7,8,1e-11,-2.619510413304178e-17,-8.00473672636166,4.455582618713379,0.1171875
7,9,1e-11,-1.8813567382662175e-17,-5.749076354764935,5.567357063293457,0.15234375
7,10,1e-11,-1.8813567382661802e-17,-5.749076354764822,6.996449947357178,0.1484375
7,11,1e-11,-1.3681942779802117e-17,-4.18094729844249,8.69087553024292,0.28125
7,12,1e-11,-1.3681942779802136e-17,-4.180947298442496,10.636668920516968,0.25
7,13,1e-11,-1.033240492118941e-17,-3.1573908133451174,12.927974939346313,0.43359375
7,14,1e-11,-1.0332404921187412e-17,-3.1573908133445068,15.777717351913452,0.48046875
7,15,1e-11,-8.27044369344874e-18,-2.527293804216988,19.06331467628479,0.265625
7,16,1e-11,-8.270443693448147e-18,-2.5272938042168067,22.38757848739624,0.56640625
7,17,1e-11,-7.06837697462814e-18,-2.1599645673179793,26.46846318244934,1.0234375
7,18,1e-11,-7.068376974626527e-18,-2.159964567317486,30.757389068603516,2.39453125
7,19,1e-11,-6.40238449495077e-18,-1.956449649626561,35.95096254348755,3.1484375
7,20,1e-11,-6.402384494950378e-18,-1.9564496496264414,41.60307765007019,4.13671875
7,21,1e-11,-6.05071930030645e-18,-1.8489873053405632,50.59948778152466,5.8515625
7,22,1e-11,-6.050719300307219e-18,-1.848987305340798,57.13953161239624,6.8984375
7,23,1e-11,-5.8733827984816535e-18,-1.7947965679465898,66.46640658378601,8.21875
7,24,1e-11,-5.8733827984816604e-18,-1.794796567946592,70.76558685302734,9.78125
8,5,1e-11,-3.611736194062487e-17,-11.03679420845445,3.1788508892059326,8.0546875
8,6,1e-11,-3.6117361940624885e-17,-11.036794208454456,3.6772236824035645,0.0
8,7,1e-11,-2.6195104133041744e-17,-8.00473672636165,4.283945798873901,0.0
